Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0482124024715684,-2.11997733364886E-08,0.0437837615145441,0,0,0,107.388668742931,1.22100761859766,2.35408130593514E-08,-0.213069196033121,6.93483368955367,9.15237828430063E-08,7.80996151767761,0,0,0,0,0,0,package://轴系urdf/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://轴系urdf/meshes/base_link.STL,,轴承座-1;电机座-1;MS-130ST-T10015B-21P5-交流永磁同步伺服电机-1;ZJ-50A型动态扭矩传感器-1;CZF-型法兰式安装磁粉制动器[CZF-0.3]-1/CZF-0.3_1_1-1;ZB╱ZC-B深沟球轴承 防尘式[ZC-B6801ZZ]-1;ZB╱ZC-B深沟球轴承 防尘式[ZC-B6801ZZ]-2;ZB╱ZC-B深沟球轴承 防尘式[ZC-B6801ZZ]-3;ZB╱ZC-B深沟球轴承 防尘式[ZC-B6801ZZ]-4;CZF-型法兰式安装磁粉制动器[CZF-0.3]-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link,-1.58611210162585E-05,-2.07330212466383E-05,0.308504147181496,0,0,0,1.48084133626181,0.0481596319576275,-1.10330933849115E-07,-6.10810168884322E-08,0.0481594925561947,4.06445617475966E-08,0.000266229514042342,0,0,0,0,0,0,package://轴系urdf/meshes/Empty_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://轴系urdf/meshes/Empty_Link.STL,,轴-1;LYCA梅花联轴器[LYCA-3040]-1;LYCA梅花联轴器[LYCA-4566]-1;LYCA梅花联轴器[LYCA-5578]-1,Origin_joint1,基准轴1,joint1,continuous,0,-0.175,0,1.5707963267949,0.603482602756735,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
