Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
shaft_base_link,-2.12E-08,0.048212,0.043784,0,0,0,107.39,6.9348,-2.3541E-08,9.1524E-08,1.221,0.21307,7.81,0,0,0,0,0,0,package://shaft/meshes/shaft_base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://shaft/meshes/shaft_base_link.STL,,电机座-1;轴承座-1;MS-130ST-T10015B-21P5-交流永磁同步伺服电机-1;ZJ-50A型动态扭矩传感器-1;ZB╱ZC-B深沟球轴承 防尘式[ZC-B6801ZZ]-1;ZB╱ZC-B深沟球轴承 防尘式[ZC-B6801ZZ]-2;ZB╱ZC-B深沟球轴承 防尘式[ZC-B6801ZZ]-3;ZB╱ZC-B深沟球轴承 防尘式[ZC-B6801ZZ]-4;CZF-型法兰式安装磁粉制动器[CZF-0.3]-1,coordinate system1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shaft_Link1,-8.0694E-06,0.3085,0.17498,0,0,0,1.4808,0.04816,6.813E-08,-1.044E-07,0.00026623,-2.7226E-08,0.048159,0,0,0,0,0,0,package://shaft/meshes/shaft_Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://shaft/meshes/shaft_Link1.STL,,LYCA梅花联轴器[LYCA-5578]-1;LYCA梅花联轴器[LYCA-4566]-1;LYCA梅花联轴器[LYCA-3040]-1;轴-1,coordinate system1,axis1,shaft_Joint1,revolute,0,0,0,0,0,0,shaft_base_link,0,1,0,0,0,0,0,,,,,,,,
